target_sku;platform;api_sku;status;note;api_revenue;api_units;api_name;all_platforms;source_modes;first_date;last_date
"";"ozon";"papiderm";"active";"API without registry pair; Ozon";"13289";"34";"papiderm";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-13"
"";"ya";"yagodniy_spas_1_1";"active";"API without registry pair; Yandex Market";"13104";"9";"yagodniy_spas_1_1";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"biotrin_60ml";"active";"API without registry pair; Yandex Market";"13014";"21";"Мазь для суставов обезболивающая, крем панты морала, хондротин, гель глюкозамин, бальзам Биотрин, 60 мл";"?.??????";"yandex-market-api-direct-sku";"2026-05-02";"2026-05-10"
"";"ya";"wbgetsizegel";"active";"API without registry pair; Yandex Market";"12375";"27";"wbgetsizegel";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"kinzhal";"active";"API without registry pair; Yandex Market";"12033";"18";"kinzhal";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"dardrakona_75ml";"active";"API without registry pair; Yandex Market";"11814";"15";"dardrakona_75ml";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-14"
"";"ya";"wbsinergel";"active";"API without registry pair; Yandex Market";"11508";"21";"wbsinergel";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"kavmaz_60ml";"active";"API without registry pair; Yandex Market";"11493";"15";"kavmaz_60ml";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"dardrakona";"active";"API without registry pair; WB";"11138";"14";"dardrakona";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"fruitalica";"active";"API without registry pair; Ozon";"10573";"27";"fruitalica";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ozon";"glukofol";"active";"API without registry pair; Ozon";"10547";"29";"glukofol";"Ozon";"ozon-api-direct-sku";"2026-05-03";"2026-05-15"
"";"ozon";"glikiron";"active";"API without registry pair; Ozon";"10420";"27";"glikiron";"Ozon";"ozon-api-direct-sku";"2026-05-01";"2026-05-15"
"";"ya";"erobrut";"active";"API without registry pair; Yandex Market";"10395";"15";"erobrut";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"dolgar";"active";"API without registry pair; WB";"10240";"14";"dolgar";"WB, Ozon";"wb-api-direct-sku, ozon-api-direct-sku";"2026-05-02";"2026-05-15"
"";"ozon";"wowglam";"active";"API without registry pair; Ozon";"10086";"7";"wowglam";"Ozon, ?.??????";"ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
"";"wb";"khvoinitsa_1_1";"active";"API without registry pair; WB";"10010";"8";"khvoinitsa_1_1";"WB, Ozon";"wb-api-direct-sku, ozon-api-direct-sku";"2026-05-02";"2026-05-14"
"";"ya";"osteofast";"active";"API without registry pair; Yandex Market";"10002";"15";"osteofast";"WB, Ozon, ?.??????";"wb-api-direct-sku, ozon-api-direct-sku, yandex-market-api-direct-sku";"2026-05-01";"2026-05-15"
